Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
93,N06W18,2001/11/04,16:35,360,1810,2286,1514,1691,-63.4,1.7e+16*2,2.8e+32*2,239,data gap jhelio,,,,,,,2001/11/06,1:52:00,2001/11/06,12:00:00,2001/11/09,3:00,0,-39,2,300 S,600,-292,750,7,1,1250,33,,,,,,
94,S13E42,2001/11/17,5:30,360,1379,1525,1249,1350,-22.5,1.3e+16*2,1.2e+32*2,58,AR,9704,4:54,βγδ,,,,2001/11/19,18:15:00,2001/11/19,22:00:00,2001/11/21,13:00,0,0,3W,130 S,430,-47,570,6,1,680,60,,,,,,
95,S17W36,2001/11/22,23:30,360,1437,1577,1371,1409,-12.9,1.8e+16*2,1.8e+32*2,349,AR,9704,22:59,βγδ,,,,2001/11/24,6:56:00,2001/11/24,14:00:00,2001/11/25,20:00,0,-6,2,550 S,720,-221,1040,14,2,1320,31,,,,,,
96,N12W71,2001/12/26,5:30,>212,1446,,1284,1295,-39.9*1,4.8e+15*2,5.0e+31*2,266,AR,9742,5:09,βγ,M7.1,,,2001/12/29,5:38:00,2001/12/30,0:00:00,2001/12/30,18:00,-14,-6,3,90 S,400,-58,460,16,1,580,71,,,,,,
97,S08W03,2002/03/15,23:06,360,957,1297,784,917,-17.4,1.8e+16*2,8.1e+31*2,309,AR,9866,22:34,βγδ,,,,2002/03/18,13:22:00,2002/03/19,5:00:00,2002/03/20,16:00,0,0,2,160 S,380,-37,470,15,2,667,62,69,-7.4,435,35,-25,-10.6
98,S17W20,2002/03/20,17:54,360,603,838,501,344,-15.8*1,3.2e+15*2,5.8e+30*2,89,AR,9870,17:15,βγδ,,,,2002/03/23,11:37:00,2003/03/24,12:00:00,2002/03/25,20:00,0,4,2,70 S,450,-100,450,500,15,625,66,75,-6.9,454,57,-100,-8.7
99,S15W01,2002/04/15,3:50,360,720,1143,742,731,2.1,1.9e+15*2,5.0e+30*2,198,AR,9906,3:14,βγδ,M1.2,,,2002/04/17,11:07:00,2002/04/17,16:00:00,2002/04/19,15:00,0,0,1,150 S,480,-127,610,14,2,750,55,117,-15.1,482,12,-60,-15.8
100,S14W34,2002/04/17,8:26,360,1240,1417,1103,1198,-19.8,1.1e+16*2,8.3e+31*2,292,AR,9906,8:05,βγδ,M2.6,,,2002/04/19,8:35:00,2002/04/20,0:00:00,2002/04/21,18:00,0,-6,1,200 S,500,-149,640,8,2,863,48,109,-13.9,541,43,-126,-10.9
101,S12W07,2002/05/08,13:50,360,614,990,697,1468,78.9*1,5.8e+14*2,1.1e+30*2,229,AR,9934,12:53,βγδ,,,,2002/05/11,10:14:00,2002/05/11,15:00:00,2002/05/12,0:00,0,0,2,90 S,430,-110,440,15,1,610,67,20,-15.2,428,11,-23,-13.9
102,S23E15,2002/05/16,0:50,360,600,823,506,567,-6.6*1,4.2e+15*2,7.7e+30*2,158,AR,9948,0:20,βγδ,C3.5,,,2002/05/20,3:40:00,2002/05/20,10:00:00,2002/05/21,22:00,-7,-8,3,70 S,,-36,510,7,1,420,98,78,-3.8,478,16,-7,-4.2
103,S30W34,2002/05/22,3:50,360,1557,1718,1504,1540,-10.4,2.7e+15*2,3.3e+31*2,250,AR,9948,3:24,αγδ,,,,2002/05/23,10:50:00,2002/05/23,20:00:00,2002/05/25,18:00,,,2,400 S,590,-109,920,11,2,1323,31,140,-1.5,751,36,-109,-14.1
104,N19W01,2002/07/15,20:30,360,1151,1453,973,1099,-25.6,1.6e+16*2,1.0e+32*2,35,AR,10030,19:59,βγδ,M1.8,,,2002/07/17,16:03:00,2002/07/18,12:00:00,2002/07/19,9:00,0,nc,3,100 S,460,-17,520,6,1,955,43,50,-1.1,466,48,-17,-3.8
105,S15W18,2002/07/29,12:07,161,222,,309,305,3.3*1,----,----,161,AR,10039,6:38,βγδ,,,,2002/08/01,23:09:00,2002/08/02,6:00:00,2002/08/04,2:00,0,0,2,60 S,460,-102,520,10,2,500,82,,,,,,
106,S14E20,2002/08/16,12:30,360,1585,1937,1239,1447,-67.1,1.8e+16*2,2.3e+32*2,121,AR,10069,12:15,βγδ,M5.2,,,2002/08/18,18:46:00,2002/08/19,12:00:00,2002/08/21,14:00,-7,38,2,160 S,460,-106,580,8,1,766,54,119,-8.9,545,49,-53,-5.4
107,N09E28,2002/09/05,16:54,360,1748,2074,1855,1903,43,2.6e+15*2,3.9e+31*2,114,AR,10102,16:30,α,C5.2,,,2002/09/07,16:36:00,2002/09/08,4:00:00,2002/09/08,2000,nc,0,2,170 S,470,-181,550,11,0,880,47,39,-4.1,522,31,-181,-22.3
108,S12W42,2002/09/17,8:06,249,960,,978,972,2.5,1.4e+16*2,6.5e+31*2,213,AR,10114,7:43,βγ,C8.6,,,2002/09/19,6:00:00,2002/09/19,20:00:00,2002/09/20,21:00,0,ns,2,80,520,-40,750,5,0,910,45,67,-1.3,637,46,-37,-2.7
109,S06W29,2003/01/30,10:06,138,620,,869,764,17.9,1.9e+15*2,3.7e+30*2,351,AR,10272,9:30,β,,,,2003/02/01,13:05 (A),2003/02/01,19:00:00,2003/02/03,7:00,,0,2,340 S,510,-72,760,11,0,820,50,95,-9.1,663,20,-28,-0.9
111,S07W20,2003/05/28,0:50,360,1366,1701,1527,1414,25.9*1,1.3e+16*2,1.2e+32*2,292,AR,10365,0:12,βγδ,X3.6,,,2003/05/29,18:25(A),2003/05/30,2:00:00,2003/05/30,16:00,nc,0,3,120 S,600,-144,760,20,1,999,41,43,,734,29,-144,-6.7
112,S06W37,2003/05/29,1:27,360,1237,1407,1104,1184,-22.3,3.9e+15*2,3.0e+31*2,260,AR,10365,0:52,βγδ,X1.2,,,2003/05/30,16:00(A),2003/05/30,22:00:00,2003/06/01,1:00,-3,-19,3,220 S,680,-63,780,7,0,1078,38,95,-5.4,759,24,-48,
113,N12W91,2003/06/14,1:54,195,875,,1009,963,16.0*1,4.4e+15*2,1.7e+31*2,12,AR,10375,1:07,βγδ,M3.1,,,2003/06/16,18:00:00,2003/06/17,10:00:00,2003/06/18,8:00,0,0,3,80,480,-141,540,10,2,650,63,55,-16.8,524,43,-81,-8.9
114,S10E02,2003/08/14,20:06,360,378,766,431,461,4.4,3.9e+15*2,2.8e+30*2,25,AR,10431,19:14,βγδ,,,,2003/08/17,14:21:00,2003/08/18,1:00:00,2003/08/19,15:00,0,18,1,80 S,450,-148,530,18,2,630,65,89,-17.4,513,28,-63,-10.3
115,N04E12,2003/10/22,8:30,>267,719,,1080,1009,37,1.1e+16*2,2.8e+31*2,352,AR,10484,7:37,βγδ,M1.0,,,2003/10/24,15:24:00,2003/10/24,21:00:00,2003/10/25,12:00,nc,nc,2,140 S,560,-36,600,21,1,760,54,43,-4.5,571,17,-34,-9.3
116,N04W42,2003/10/26,17:54,>171,1537,,1561,1550,4.8,2.0e+16*2,2.4e+32*2,235,AR,10484,17:40,βγδ,X1.2,,,2003/10/28,2:06:00,2003/10/28,2:30:00,2003/10/28,9:00,ns,ns,1,130 S,610,-32,620,19,0,1331,31,21,-10.3,566,1,-18,-5
117,S16E08,2003/10/28,11:30,360,2459,3128,2229,2268,-105.2*1,6.8e+16*2,2.1e+33*2,15,AR,10486,11:09,βγδ,X17,,,2003/10/29,6:11:00,2003/10/29,11:00:00,2003/10/30,3:00,0,nc,2,900 S,1300,-353,1900,32,2H,2185,19,108,-24.6,,,-151,-14.4
118,S15W02,2003/10/29,20:54,360,2029,2628,1670,1519,-147,1.7e+16*2,3.4e+32*2,190,AR,10486,20:45,βγδ,X10,,,2003/10/30,16:19(A),2003/10/31,2:00:00,2003/11/02,0,0,24,2,750 S,800,-383,1700,9,1,2138,19,91,-3.6,1161,58,-383,-28.2
119,N00E18,2003/11/18,8:50,360,1660,2109,1645,1656,-3.3,2.4e+16*2,3.3e+32*2,206,AR,10501,8:13,βγ,M3.9,,,2003/11/20,8:03:00,2003/11/20,10:00:00,2003/11/21,8:00,0,8,2,240 S,580,-422,700,28,2,886,46,66,-45.9,642,6,-38,-3
120,S13W09,2004/01/20,0:06,360,965,1248,1074,1072,17.2,1.0e+16*2,4.7e+31*2,224,AR,10540,1/19/04 23:45,βγδ,,,,2004/01/22,1:37:00,2004/01/22,8:00:00,2004/01/23,17:00,0,-5,2,200 S,560,-130,680,12,0,850,48,96,-8.9,630,21,-24,-2.4
121,S19E29,2004/01/21,4:54,360,762,975,667,650,-13.7,5.6e+15*2,1.6e+31*2,78,AR,10543,4:14,βγ,,,,2004/01/23,14:25(A),2004/01/23,23:00:00,2004/01/25,4:00,0,2,2,60 S,490,-81,550,10,1,720,57,74,-10.7,532,23,-78,-8.9
122,N10E35,2004/07/20,13:31,360,710,892,906,831,16.6,1.5e+16*2,3.7e+31*2,334,AR,10652,12:54,βγδ,M8.6,,,2004/07/22,10:36:00,2004/07/22,18:00:00,2004/07/24,8:00,0,,2,90 S,560,-99,670,11,2,920,45,110,-15.3,468,18,,-2.9
123,N08E05,2004/07/22,7:31,138,459,,545,713,17.1,1.5e+15*2,1.6e+30*2,218,AR,10652,6:33,βγδ,C1.6,,,2004/07/24,6:13:00,2004/07/24,14:00:00,2004/07/25,15:00,,nc,2,90 S,560,-136,610,20,2,890,46,72,-22.5,584,24,-21,
124,W90b,2004/07/23,16:06,360,824,824,728,0,-43.9*1,1.2e+15*2,4.2e+30*2,278,AR,10652,15:49,βγδ,C2.3,,,2004/07/25,15:00:00,2004/07/25,20:00:00,2004/07/26,22:00,nc,,2,110,640,-136,680,6,1,890,46,,,,,,
125,N08W33,2004/07/25,14:54,360,1333,1544,1366,1359,7,1.1e+16*2,9.5e+31*2,204,AR,10652,14:39,βγδ,C4.8,,,2004/07/26,22:49:00,2004/07/27,2:00:00,2004/07/27,2200,0,10,1,300 S,870,-170,1000,16,2,1302,32,90,-17.7,903,15,-102,-9.4
126,N03E49,2004/09/12,0:36,360,1328,1436,1484,1405,22.5,1.9e+16*2,1.7e+32*2,132,AR,10672,0:27,βγ,M4.8,,,2004/09/13,20:03:00,2004/09/14,15:00:00,2004/09/16,1200,-6,0,3W,110 S,550,-38,600,6,1,960,43,128,-7.8,557,55,-38,-6.8
127,,2004/09/14,10:12,360,462,829,387,0,-13.0*1,1.8e+15*2,2.0e+30*2,162,data gap jhelio,,,,,,,2004/09/17,21:00:00,2004/09/18,12:00:00,2004/09/20,0:00,0,0,3,20,400,-33,500,6,1,500,82,75,-3.6,466,36,-33,-4.5
128,N09E18,2004/11/04,23:30,>293,1055,,1037,1050,-1.9,1.4e+16*2,7.8e+31*2,31,AR,10696,23:01,βγ,M5.4,,,2004/11/07,18:27:00,2004/11/07,22:00:00,2004/11/09,10:00,0,nc,1,140 S,630,-374,720,18,2,720,57,117,-44.5,632,12,-33,-4.5
129,N09W17,2004/11/07,16:54,360,1759,2218,1696,1713,-19.7,1.4e+16*2,2.2e+32*2,0,AR,10696,16:24,βγδ,X2.0,,,2004/11/09,18:25(W),2004/11/09,22:00:00,2004/11/11,23:00,0,0,1,170 S,640,-263,810,14,2,830,50,169,-26.7,720,6,-181,-15.2
130,N09W49,2004/11/10,2:26,360,3387,3656,3142,3330,-108.0*1,9.5e+15*2,5.5e+32*2,302,AR,10696,2:10,βγδ,X2.5,,,2004/11/11,17:10:00,2004/11/12,8:00:00,2004/11/13,23:00,0,0,2,60,520,-92,670,7,1,1080,38,105,-6.5,623,48,-82,-4.3
131,N05W03,2004/12/08,20:26,360,611,1109,459,0,-87.2*1,5.3e+15*2,9.9e+30*2,310,AR,10709,20:00,β,,,,2004/12/11,13:40:00,2004/12/12,22:00:00,2004/12/13,19:00,0,0,2,60,400,-56,580,13,1,640,64,43,-10.9,478,80,-41,-5.3
132,N15E15,2005/01/05,15:30,360,735,1081,892,831,15,4.5e+15*2,1.2e+31*2,78,AR,10715,14:46,β,,,,2005/01/08,17:00:00,2005/01/08,21:00:00,2005/01/09,18:00,0,-10,2,40,460,-93,520,9,1,570,72,,,,,,
133,S06E14,2005/01/13,17:54,360,495,906,540,729,13.6*1,4.2e+14*2,5.1e+29*2,97,AR,10718,17:07,β,,,,2005/01/16,11:00:00,2005/01/16,14:00:00,2005/01/17,7:00,0,0,3,80,520,-65,580,8,1,640,64,46,-7.4,563,9,-16,
134,N13W19,2005/01/17,9:30,360,2094,2580,1700,1896,-119,3.2e+16*2,6.9e+32*2,334,AR,10720,9:12,βδ,X3.8,,,2005/01/18,21:00:00,2005/01/18,23:00:00,2005/01/20,3:00,-2,10,1,,800,-80,960,12,0,1170,35,116,-6.7,879,9,-67,-4.1
135,N14W70,2005/01/20,6:54,360,882,951,940,1013,16.0*1,----,----,288,AR,10720,6:03,βδ,X7.1,,,2005/01/21,17:11:00,2005/01/21,19:00:00,2005/01/22,17:00,0,-5,2,340 S,810,-97,960,19,0,1210,34,92,-2.4,850,8,,-7.7
136,S04W37,2005/02/17,0:06,360,1135,1397,1252,1263,25.6*1,----,----,292,AR,10734,23:29,β,C4.9,,,2005/02/20,12:00:00,2005/02/20,12:00:00,2005/02/22,7:00,ns,ns,3,0,410,-43,440,5,1,500,82,91,-2.9,,,,
137,N12E11,2005/05/13,17:12,360,1689,2171,,,,1.5e+12*2,2.1e+28*2,2,AR,10759,16:47,β,M8.0,,,2005/05/15,2:38:00,2005/05/15,6:00:00,2005/05/19,0:00,0,0,2,400 S,630,-247,950,15,2,1270,32,59a,-40.8,741,13,-58,-3.8
138,N11W34,2005/05/16,13:50,140,405,,417,413,0.6,4.3e+15*2,3.5e+30*2,311,AR,10759,13:05,β,,,,2005/05/20,3:00:00,2005/05/20,3:00:00,2005/05/22,2:00,0,20,2,30,420,-83,480,10,2,488,84,85,-11.5,,,,
139,S11E19,2005/05/26,15:06,360,586,854,565,575,-1.6,1.5e+16*2,2.6e+31*2,275,AR,10767,14:17,βγ,B7.5,,,2005/05/29,9:52:00,2005/05/30,1:00:00,2005/05/30,2300,nc,nc,2,130 S,460,-113,540,15,1,630,65,52,-13.7,506,40,-42,-4.4
140,S07E12,2005/05/26,21:26,199,420,,401,392,-1.8,1.3e+15*2,1.1e+30*2,61,AR,10767,21:22,βγ,C8.6,,,2005/05/30,23:00:00,2005/05/31,4:00:00,2005/06/01,3:00,nc,0,3,30,460,-113,490,4,0,430,96,,,,,,
141,,2005/06/09,14:36,125,377,,338,289,-3.7*1,1.0e+15*2,7.4e+29*2,267,data gap jhelio,,,,,,,2005/06/12,7:45:00,2005/06/12,15:00:00,2005/06/13,13:00,0,0,2,80,480,-106,510,14,2,650,63,55,-18.4,415,16,,-7.3
142,N09E03,2005/07/07,17:06,360,683,1173,636,574,-8.7,9.1e+14*2,2.1e+30*2,39,AR,10786,16:39,βγδ,,,,2005/07/10,3:37:00,2005/07/10,10:00:00,2005/07/12,4:00,0,28,2,80 S,430,-92,480,12,1,720,57,93,-15.3,437,14,-34,-6.8
143,N11W28,2005/08/05,8:54,>233,494,,487,482,-0.8,2.9e+15*2,3.6e+30*2,52,AR,10792,8:06,βγ,C2.6,,,2005/08/09,0:00:00,2005/08/09,0:00:00,2005/08/09,19:00,0,0,2,40,480,-23,520,6,1,477,86,47,-3.1,,,,
144,S11W54,2005/08/22,1:31,360,1194,1265,1086,1127,-17.8,5.3e+15*2,3.8e+31*2,220,AR,10798,1:06,βγ,M2.6,,,2005/08/24,6:13:00,2005/08/24,14:00:00,2005/08/24,23:00,0,0,3,100 S,360,-216,710,20,1,790,52,31,-9.4,617,25,-184,-32.3
145,N13W13,2005/08/31,11:30,360,825,1283,1116,1165,42.9,2.4e+15*2,8.1e+30*2,287,AR,10803,11:05,βγ,C2.0,,,2005/09/02,14:19:00,2005/09/02,18:00:00,2005/09/03,4:00,0,nc,2,110 S,650,-60,680,10,1,840,49,34,-6.5,550,10,-39,-0.6
146,S12E67,2005/09/09,19:48,360,2257,2311,1810,2054,-129,1.6e+17*2,4.2e+33*2,115,data gap jhelio,,,,,,,2005/09/11,1:14:00,2005/09/11,5:00:00,2005/09/12,7:00,0,nc,2,300 S,900,-139,1100,10,0,1423,29,121,-5.4,1023,20,-41,-5.3
147,S12W30,2006/04/10,6:06,251,183,,312,381,6.5*1,3.0e+15*2,4.9e+29*2,313,AR,10869,3:57,β,B4.4,,,2006/04/13,11:41(s),2006/04/13,15:00:00,2006/04/14,7:00,0,0,2,120,520,-98,550,18,2,540,76,43,-11.6,476,8,-10,-0.6
148,S09W34,2006/07/06,8:54,360,911,1043,995,944,8.2,1.8e+16*2,7.3e+31*2,205,AR,10898,8:26,β,M2.5,,,2006/07/09,21:36:00,2006/07/10,21:00:00,2006/07/11,19:00,0,0,1,100 S,380,-27,430,8,0,488,84,43,-1,392,47,-24,-6.4
149,S16W08,2006/08/16,16:30,360,888,1359,905,896,1.9,1.0e+16*2,4.0e+31*2,161,AR,10904,15:46,βγ,C3.6,,,2006/08/19,11:31:00,2006/08/20,13:00:00,2006/08/21,16:00,-7,14,2,90 S,400,-79,470,8,0,620,66,56,-3.8,426,56,-79,-11.4
150,S08E06,2006/08/26,20:57,208,786,,956,895,16.8*1,7.4e+15*2,2.3e+31*2,163,AR,10905,20:21,βγ,C2.5,,,2006/08/30,20:00:00,2006/08/30,20:00:00,2006/09/01,7:00,,ns,3,0,400,-35,440,8,2,440,93,72,-6.6,,,,
151,S06W23,2006/12/13,2:54,360,1774,2184,1622,1573,-61.4*1,4.7e+15*2,7.4e+31*2,193,AR,10930,2:28,βγδ,X3.4,,,2006/12/14,14:14:00,2006/12/14,22:00:00,2006/12/15,13:00,0,7,1,320 S,740,-162,900,13,2,1180,35,57,-16.4,909,37,-45,-4
152,S06W46,2006/12/14,22:30,360,1042,1139,1039,1041,-0.4,7.5e+15*2,4.1e+31*2,248,AR,10930,22:00,βγδ,X1.5,,,2006/12/16,17:55:00,2006/12/17,0:00:00,2006/12/17,17:00,,24,3,70 S,580,-56,680,4,0,980,42,51,-0.1,657,21,-56,
153,,2007/11/15,18:50,199,125,,158,204,1.3*1,3.8e+14*2,2.9e+28*2,329,data gap jhelio,,,,,,,2007/11/19,18:11:00,2007/11/19,23:00:00,2007/11/20,12:00,-4,0,1,30,460,-59,480,18,2,437,94,,,,,,
154,S25W87,2008/12/12,8:54,184,203,,322,432,7.4*1,8.1e+14*2,1.7e+29*2,317,AR,11009,5:17,β,,,,2008/12/16,11:59:00,2008/12/17,3:00:00,2008/12/17,14:00,ns,ns,3,30,350,-15,380,9,2,350,117,,,,,,
155,S29E14,2009/09/25,13:31,10,586,,751,1911,152.9*1,----,----,335,AR,11026,12:44,α,,,,2009/09/30,1:00:00,2009/09/30,6:00:00,2009/10/01,0:00,ns,ns,3,50,340,-7,360,7,1,380,108,,,,,,
156,N30W19,2009/12/16,4:30,360,276,395,351,357,3.6,1.2e+15*2,4.7e+29*2,47,AR,11035,3:05,β,,,,2009/12/19,10:00:00,2009/12/19,13:00:00,2009/12/20,17:00:00,ns,ns,3W,20,380,-6,430,4,0,536,77,,,,,,
157,N24E01,2010/02/07,3:54,360,421,672,427,429,0.5,3.8e+15*2,3.4e+30*2,113,AR,11045,2:59,βγ,M6.4,2/7/10,2:20,2010/02/11,0:00:00,2010/02/11,8:00:00,2010/02/12,3:00:00,ns,ns,3,70,360,-7,380,7,0,450,91,,,,,,
158,S22W29,2010/04/03,10:33,360,668,939,658,661,-1.0*1,3.2e+15*2,7.2e+30*2,171,AR,11059,9:39,α,B7,4/3/12,9:54:00,2010/04/05,8:26:00,2010/04/05,12:00:00,2010/04/06,14:00:00,0,0,1,200,640,-81,790,9,2,910,45,,,,,,
159,N24W00,2010/04/08,4:54,160,264,,235,179,-2.2*1,1.3e+15*2,4.6e+29*2,235,AR,11060,3:44,α,,,,2010/04/11,13:04:00,2010/04/12,1:00:00,2010/04/12,15:00:00,0,3,1,60,410,-67,460,11,2,520,79,,,,,,
160,S16W06,2010/05/23,18:06,360,258,442,315,342,3.2*1,2.4e+15*2,7.8e+29*2,317,AR,11072,16:22,β,,,,,,2010/05/28,2:00:00,2010/05/29,14:00:00,,,1,,365,-80,,,,381.45,108,,,,,,
161,S15W23,2010/05/24,14:06,360,427,590,492,474,3.8*1,3.8e+15*2,3.5e+30*2,280,AR,11072,13:03,β,,,,2010/05/28,2:58:00,2010/05/28,19:00:00,2010/05/29,17:00:00,0,0,2,60,360,-80,390,14,2,500,82,,,,,,
162,N22W16,2010/10/26,1:36,83,214,,452,404,6.9,1.90E+16,4.40E+30,210,AR,11117,2:26,β,,,,2010/10/30,10:15:00,2010/10/31,5:00:00,2010/11/01,21:00:00,ns,ns,3,30,340,-11,380,9,1,400,103,,,,,,
163,S21W28,2011/02/15,2:24,360,669,960,508,471,-18.3,4.3e+15*2,9.7e+30*2,189,AR,11158,2:04,βγ,X2.2,2/15/11,1:44:00,2011/02/18,1:30:00,2011/02/18,19:00:00,2011/02/20,8:00:00,-15,36,2,130,470,-32,600,10,1,590,70,,,,,,
164,S22W23,2011/03/03,6:12,206,263,,337,380,4.4*1,1.4e+15*2,4.8e+29*2,204,AR,11165,4:49,β,,,,2011/03/06,3:31:00,2011/03/06,9:00:00,2011/03/08,6:00:00,ns,ns,3,50,430,-27,530,6,0,600,69,,,,,,
165,,2011/05/25,5:24,38,276,,307,360,2.8*1,1.10E+14,4.20E+28,328,AR,11218,4:06,α,B1.9,5/25/11,3:41:00,2011/05/28,1:00:00,2011/05/28,5:00:00,2011/05/28,21:00:00,,,1,60,510,-80,540,11,2,450,91,,,,,,
166,S19E14,2011/06/02,8:12,360,976,1147,999,996,3.6,1.4e+15*2,6.8e+30*2,98,AP,11227,7:42,βγ,C3.7,6/2/11,7:22:00,2011/06/04,20:45:00,2011/06/05,2:00:00,2011/06/05,19:00:00,0,0,1,120,510,-45,560,12,2,680,60,,,,,,
167,S16W07,2011/06/14,6:12,188,571,,805,698,14.6,1.5e+16*2,2.5e+31*2,68,AR,11234,6:57,β,,6/14/11,2:06:00,2011/06/17,2:41:00,2011/06/17,5:00:00,2011/06/17,13:00:00,0,0,2,80,500,-5,550,9,1,610,67,,,,,,
168,N16W22,2011/08/02,6:36,268,712,,554,596,-15.5*1,5.1e+15*2,1.3e+31*2,285,AR,11261,6:12,βγδ,,,,2011/08/04,21:53:00,2011/08/05,5:00:00,2011/08/05,14:00:00,,,3,70,430,-15,440,5,1,670,61,,,,,,
169,N15W35,2011/08/03,14:00,360,610,785,492,480,-12.2*1,8.7e+15*2,1.6e+31*2,307,AR,11261,13:22,βγδ,M6.0,8/3/11,13:17:00,,,2011/08/05,17:51:00,2011/08/07,22:00,,,2,,610,-115,,,,399.5,103,,,,,,
170,N16W51,2011/08/04,4:12,360,1315,1477,1074,1208,-41.1,1.1e+16*2,9.3e+31*2,298,AP,11261,3:47,βγδ,M9.3,8/4/11,3:41:00,2011/08/05,17:51:00,2011/08/06,22:00:00,2011/08/07,22:00:00,,,1,180,540,-115,610,4,1,1100,37,,,,,,
171,N14W18,2011/09/06,23:05,360,575,830,589,582,1.1*1,1.5e+16*2,2.5e+31*2,300,AR,11283,21:55,βγ,X2.1,9/6/11,22:12:00,2011/09/09,12:42:00,2011/09/10,3:00:00,2011/09/10,15:00:00,,,2,150,470,-75,530,14,2,680,60,,,,,,
172,N25W08,2011/09/19,6:00,229,655,,626,639,-2.5,1.0e+16*2,2.1e+31*2,58,AR,11296,5:33,βγ,C2.4,9/19/11,4:52:00,2011/09/22,3:00:00,2011/09/22,15:00:00,2011/09/23,3:00:00,,,3,20,390,-29,420,5,1,600,69,,,,,,
173,N13E45,2011/09/24,12:48,360,1915,2018,2254,2089,79.6,1.6e+16*2,3.0e+32*2,78,AR,11302,12:31,βγ,M7.1,9/24/11,12:33:00,2011/09/26,12:34:00,2011/09/26,20:00:00,2011/09/28,15:00:00,,,2,130,580,-118,700,7,0,870,47,,,,,,
174,N12W26,2011/10/02,2:00,103,259,,262,282,0.6*1,3.00E+14,1.00E+29,179,AR,11305,0:40,βγδ,M3.9,10/2/11,0:37:00,2011/10/05,7:36:00,2011/10/05,10:00:00,2011/10/05,22:00:00,,,2,90,450,-43,460,12,1,530,78,,,,,,
175,N10E13,2011/10/22,1:25,360,593,666,739,663,9.5,1.6e+16*2,2.7e+31*2,354,AR,11324,0:39,βγ,,10/22/11,0:31,2011/10/24,18:31:00,2011/10/24,22:00:00,2011/10/25,16:00,,,2,150,460,-147,510,21,2,630,65,,,,,,
176,N12W40,2011/10/26,10:00,158,270,,345,403,5.1*1,3.2e+15*2,1.2e+30*2,289,AR,11324,8:10,βγ,C1.2,10/26/11,8:51,2011/10/30,10:01:00,2011/10/31,1:00:00,2011/10/31,15:00,,,3,30,410,-29,420,6,0,430,96,,,,,,
177,N09E04,2011/10/27,12:00,360,570,718,507,528,-5.0*1,5.8e+15*2,9.4e+30*2,54,AR,11330,11:30,βγ,,,,2011/11/01,9:07:00,2011/11/02,1:00:00,2011/11/03,4:00:00,,,3,70,380,-66,430,6,1,350,117,,,,,,
178,N18E20,2011/11/09,13:36,360,907,1012,788,869,-12.1,1.4e+16*2,5.6e+31*2,48,AR,11342,13:06,βγδ,M1.1,11/9/11,13:04:00,2011/11/12,5:59:00,2011/11/13,10:00:00,2011/11/15,2:00:00,,,3,80,370,-13,460,5,1,650,63,,,,,,
179,N08W49,2011/11/26,7:12,360,933,1001,1012,975,9,1.2e+16*2,5.2e+31*2,327,AR,11353,6:46,αγ,C1.2,11/26/11,6:30:00,2011/11/28,21:50:00,2011/11/29,0:00:00,2011/11/29,8:00:00,,,3,100,450,-25,510,15,2,670,61,,,,,,
180,N18E24,2012/01/18,12:24,203,267,,259,253,-0.5*1,2.2e+15*2,8.0e+29*2,173,AR,11401,11:39,βγ,,1/18/12,12:32:00,2012/01/21,5:01:00,2012/01/21,6:00:00,2012/01/22,8:00:00,,,2,30,320,-10,330,10,2,650,63,,,,,,
181,N28E13,2012/01/19,14:36,360,1120,1269,1499,1390,54.1,1.9e+16*2,1.2e+32*2,20,AR,11402,14:24,βγ,M3.2,1/19/12,13:44:00,2012/01/22,6:11:00,2012/01/22,23:00:00,2012/01/23,7:00:00,,,3,50,450,-71,460,9,2,670,61,,,,,,
182,N18E54,2012/03/04,11:00,360,1306,1352,1473,1399,28.3,7.9e+15*2,6.8e+31*2,52,AR,11429,10:32,βγ,,,,2012/03/06,8:00:00,2012/03/06,8:00:00,2012/03/06,15:00,,,3,0,370,-23,380,11,1,914,45,,,,,,
183,N18E41,2012/03/05,4:00,360,1531,1627,1400,1476,-24.6,1.4e+16*2,1.6e+32*2,61,AR,11429,3:35,βγδ,X1,3/5/12,4:00:00,,,2012/03/08,11:00:00,2012/03/09,15:00,,,3,,470.31,-133,,,,,#VALUE!,,,,,,
184,N17E15,2012/03/07,0:24,360,2684,3146,2379,2594,-88.2,1.4e+16*2,5.0e+32*2,57,AR,11429,0:18,βγδ,X5.4,3/7/12,0:02:00,2012/03/08,11:03:00,2012/03/09,3:00:00,2012/03/11,7:00:00,,,2,270,550,-145,890,7,1,1220,34,,,,,,
185,N18W27,2012/03/10,18:00,360,1296,1638,1227,1261,-10.9,1.3e+16*2,1.1e+32*2,5,AR,11429,17:37,βγδ,M8.4,3/10/12,17:15:00,2012/03/12,8:28:00,2012/03/12,16:19:00,2012/03/14,2:52,,,2,,1296,-64,,,,1080,38,,,,,,
